Sender,Recipient,Action,Date,,
Darwin,Mr Fox,2,1855-10-01,,1 Recipient
Darwin,Wallace,1,1857-12-22,,2 Mentioned in Letter
Darwin,C Lyell,2,1858-06-01,,3 Sender
Darwin,Lyell,2,1858-06-25,,
Darwin,Lyell,2,1858-06-26 ,,
Darwin,Gray,2,1858-01-01,,
Darwin,Hooker,2,1858-07-05,,
Darwin,J D Hooker,2,1858-07-13,,
Darwin,Lyell,2,1858-07-18,,
Darwin,Hooker,2,1858-10-12,,
Darwin,Hooker,2,1858-10-13,,
Darwin ,Hooker,2,1859-01-23,,
Darwin,Wallace,1,1859-01-25,,
Darwin,Hooker,2,1859-04-01,,
Darwin,Hooker,2,1859-05-01,,
Darwin,Wallace,1,1859-08-09,,
Darwin,Wallace,1,1859-11-13,,
Darwin,W D Fox,2,1859-11-16,,
Darwin ,W B Carpenter,2,1860-01-06,,
Darwin,Lyell,2,1860-01-10,,
Darwin,Lyell,2,1860-02-15,,
Darwin,Wallace,1,1860-05-18,,
Darwin,H W Bates,2,1861-12-03,,
Darwin,Wallace ,1,1866-01-01,,
Wallace,Darwin,3,1866-07-01,,
Darwin,Wallace,1,1866-07-05,,
Darwin,Hooker,2,1866-08-30,,
Darwin,E Haeckel,2,1867-05-21,,
Darwin,Wallace,1,1868-02-27,,
Darwin,Hooker,2,1868-02-28,,
Darwin,Wallace,1,1864-05-28,,
Darwin,Wallace,1,1867-02-22,,
Darwin,Wallace,1,1867-02-23,,
Darwin,Wallace,1,1867-02-26,,
Darwin,Wallace,1,1867-03 -01,,
Darwin,Wallace,1,1869-01-22,,
Darwin,Wallace,1,1869-03-22,,
Darwin,Wallace,1,1869-04-14,,
Darwin,Lyell,2,1869-05-04,,
Darwin,Wallace,1,1870-04-20,,
Darwin,Wallace,1,1870-09-23,,
Darwin,Wallace,1,1871-01-30,,
Darwin,Wallace,1,1871-03-16,,
Darwin,Wallace,1,1871-03-24,,
Darwin,Dr Ogle,2,1871-04-29,,
Darwin,Wallace,1,1871-07-21,,
Darwin,T H Huxley,2,1871-09-30,,
Darwin,F Muller,2,1871-10-02,,
Darwin,E B Tylor,2,1871-09-24,,
Darwin,Wallace,1,1871-08-03,,
Darwin,Wallace,1,1871-08-28,,
Darwin ,Agassis,2,1881-05-05,,
Darwin,J D Hooker,2,1879-12-17,,
Darwin,Wallace,1,1876-06-05 ,,
Darwin,Wallace,1,1881-07-01,,
